Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Alisson\Alisson,br BRA,GK,Liverpool,19,545,639,85.3,14346,7498,0,0,0,0,4,0,0,0
Allan\Allan,br BRA,MF,Everton,11.4,467,538,86.8,8789,1888,0,0.3,-0.3,7,40,7,0,26
Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,0.9,33,42,78.6,512,95,0,0,0,0,3,1,0,2
Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,15.2,426,528,80.7,7365,1696,1,1.9,-0.9,20,35,19,7,40
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,4.8,255,301,84.7,4312,1540,0,0.1,-0.1,4,9,2,0,23
Steven Alzate\Steven-Alzate,co COL,MF,Brighton,6.8,266,304,87.5,4872,918,0,0.4,-0.4,7,21,4,0,21
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,3.1,153,178,86,2831,844,0,0,0,0,7,0,0,11
Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,14.8,535,676,79.1,10680,3418,0,0.8,-0.8,8,54,13,1,58
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,15.7,721,875,82.4,17389,4963,0,0.1,-0.1,2,50,4,0,52
Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,0,1,1,100,10,0,0,0,0,0,0,0,0,0
Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,0,4,6,66.7,61,28,0,0,0,0,0,0,0,2
Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,11.9,152,244,62.3,2400,370,3,1.3,+1.7,12,12,3,0,10
Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,21,408,563,72.5,11789,7538,0,0,0,0,4,0,0,0
Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,16.5,506,646,78.3,7721,2243,2,1.4,+0.6,18,41,17,4,54
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,3,84,106,79.2,2367,1222,0,0,0,0,1,0,0,0
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,17.5,367,487,75.4,5604,1150,1,1.5,-0.5,14,13,23,9,40
Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,11.9,444,578,76.8,7235,3021,1,1.3,-0.3,7,13,16,6,40
Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,1.5,24,33,72.7,363,124,0,0,0,0,0,0,0,4
Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,12.6,264,325,81.2,3653,657,2,0.3,+1.7,7,9,4,0,21
Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,21.8,1345,1681,80,27495,10648,0,1.9,-1.9,19,122,23,8,141
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,11.6,869,1012,85.9,15723,5575,1,0.6,+0.4,11,75,12,3,57
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,6.1,288,321,89.7,5883,1953,0,0,0,0,22,0,0,18
Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,12,319,420,76,7819,3040,0,0,0,0,29,0,0,27
George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,18.5,538,706,76.2,8164,2814,1,1.3,-0.3,12,26,21,6,38
Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,2.6,52,89,58.4,1034,360,0,0.3,-0.3,4,5,1,0,5
Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,20.8,236,304,77.6,3242,448,5,2.5,+2.5,15,11,8,2,13
Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,3,116,163,71.2,2256,949,0,0,0,0,9,6,1,11
Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,10.2,332,408,81.4,6137,1568,1,2.6,-1.6,25,30,15,0,44
Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,0.5,22,26,84.6,441,72,0,0.1,-0.1,1,2,1,0,2
Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,12.4,163,252,64.7,2147,493,0,0.6,-0.6,11,11,7,1,17
Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,19.1,416,562,74,6361,1546,3,0.9,+2.1,19,33,15,1,55
Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,13.8,332,426,77.9,6877,2129,1,0,+1.0,1,25,2,1,14
Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,21.1,666,832,80,11769,3507,1,0.7,+0.3,8,41,12,5,52
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,7.1,97,138,70.3,1400,311,1,1.4,-0.4,7,6,3,1,9
Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,20.9,1155,1357,85.1,22403,7457,1,0.2,+0.8,3,62,4,0,63
Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,3.4,138,163,84.7,2002,377,0,0.1,-0.1,2,6,1,1,5
Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,19.2,913,1099,83.1,15373,4368,2,2.3,-0.3,20,49,25,8,72
Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,9.4,237,304,78,3765,1022,3,1.8,+1.2,14,25,10,3,29
Josh Benson\Josh-Benson,eng ENG,MF,Burnley,2.9,62,85,72.9,865,322,0,0,0,0,4,0,0,7
Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,8.1,136,213,63.8,1806,431,1,0.8,+0.2,9,9,6,1,14
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,7.1,166,220,75.5,2716,665,0,0.2,-0.2,4,11,4,2,19
Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,11.3,349,426,81.9,6398,1336,1,1.2,-0.2,12,32,4,2,29
Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,11.3,281,345,81.4,3855,730,2,1,+1.0,10,18,6,0,14
Bernard\Bernard,br BRA,FWMF,Everton,3,129,163,79.1,2067,510,0,0.5,-0.5,6,12,7,1,13
Bernardo\Bernardo,br BRA,DFMF,Brighton,2.3,62,87,71.3,1042,288,0,0.2,-0.2,2,3,2,1,6
Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,19.9,860,1123,76.6,14234,5312,1,0.6,+0.4,8,47,18,4,67
Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,19.6,813,944,86.1,16813,3098,0,0.3,-0.3,7,79,13,2,73
Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,6.8,180,234,76.9,2911,1164,0,0.2,-0.2,4,12,5,1,17
Willy Boly\Willy-Boly,ci CIV,DF,Wolves,16,620,748,82.9,12418,4211,1,0.4,+0.6,2,40,1,0,33
Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,18.6,345,519,66.5,7127,1598,3,1.9,+1.1,19,17,16,5,30
Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,10.7,243,358,67.9,4343,1543,1,0.9,+0.1,7,22,6,4,28
Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,8.2,112,152,73.7,1796,408,0,1.1,-1.1,4,8,2,0,10
Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,17.5,562,696,80.7,9049,1833,0,0.6,-0.6,10,36,5,0,26
Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,5,187,272,68.8,3414,1618,0,0.2,-0.2,3,13,3,2,17
Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,3.3,78,116,67.2,1434,728,0,0,0,1,3,1,0,3
Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,10,121,172,70.3,1604,185,1,1.7,-0.7,12,4,5,1,6
Dan Burn\Dan-Burn,eng ENG,DF,Brighton,12.4,505,673,75,9016,2748,0,0.2,-0.2,2,35,5,2,45
David Button\David-Button,eng ENG,GK,West Brom,1,16,37,43.2,687,484,0,0,0,0,0,0,0,0
Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,0.2,14,15,93.3,201,47,0,0,0,0,0,0,0,0
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,1,24,26,92.3,496,302,0,0,0,0,0,0,0,0
Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,9,296,346,85.5,6436,2219,0,0.4,-0.4,3,22,1,0,18
Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,8.4,551,621,88.7,11165,2009,1,1.4,-0.4,20,61,10,5,32
