Player,Pos,Squad,90s,Prog
Jacob Ramsey\Jacob-Ramsey,MFFW,Aston Villa,1.8,4
Kayne Ramsey\Kayne-Ramsey,DF,Southampton,1,0
Darren Randolph\Darren-Randolph,GK,West Ham,1,0
Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,20.6,55
Tim Ream\Tim-Ream,DF,Fulham,5,13
Nathan Redmond\Nathan-Redmond,MFFW,Southampton,7,37
Harrison Reed\Harrison-Reed,MF,Fulham,13.9,50
Sergio Reguilón\Sergio-Reguilon,DF,Tottenham,11.8,36
Bobby Reid\Bobby-Reid,DFFW,Fulham,15.2,41
Declan Rice\Declan-Rice,MF,West Ham,23,78
Richarlison\Richarlison,FWMF,Everton,15.1,20
Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,9.6,30
Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,5.9,17
Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,3.6,12
Andrew Robertson\Andrew-Robertson,DF,Liverpool,22.9,171
Antonee Robinson\Antonee-Robinson,DF,Fulham,16.3,60
Callum Robinson\Callum-Robinson,FWMF,West Brom,13.2,9
Jack Robinson\Jack-Robinson,DF,Sheffield Utd,6.7,17
Hal Robson-Kanu\Hal-Robson-Kanu,FWMF,West Brom,2.5,3
Marek Rodák\Marek-Rodak,GK,Fulham,1,0
Joe Rodon\Joe-Rodon,DF,Tottenham,4.1,7
Rodri\Rodri,MF,Manchester City,19.1,102
Rodrigo\Rodrigo,MF,Leeds United,11,46
James Rodríguez\James-Rodriguez,FWMF,Everton,13.3,99
Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,8.5,12
Oriol Romeu\Oriol-Romeu,MF,Southampton,16.5,74
Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,8,20
Mathew Ryan\Mathew-Ryan,GK,Arsenal,1,0
Mathew Ryan\Mathew-Ryan,GK,Brighton,11,0
Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,8.3,22
Romain Saïss\Romain-Saiss,DF,Wolves,13.7,56
Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,18.7,48
Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,3.1,3
Mohamed Salah\Mohamed-Salah,FW,Liverpool,20.4,80
Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,7.5,18
Robert Sánchez\Robert-Sanchez,GK,Brighton,12,0
Morgan Sanson\Morgan-Sanson,MF,Aston Villa,0.1,0
Romaine Sawyers\Romaine-Sawyers,MF,West Brom,16.5,52
Dane Scarlett\Dane-Scarlett,FW,Tottenham,0,0
Fabian Schär\Fabian-Schar,DF,Newcastle Utd,13.4,37
Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,10.8,23
Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,23,0
Nélson Semedo\Nelson-Semedo,DF,Wolves,19.7,58
Jamie Shackleton\Jamie-Shackleton,MFDF,Leeds United,3.4,5
Xherdan Shaqiri\Xherdan-Shaqiri,MFFW,Liverpool,4.4,24
Billy Sharp\Billy-Sharp,FW,Sheffield Utd,4.8,4
Luke Shaw\Luke-Shaw,DF,Manchester Utd,16.5,95
Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,14.1,65
Gylfi Sigurðsson\Gylfi-Sigurdsson,MF,Everton,12.3,27
Bernardo Silva\Bernardo-Silva,MFFW,Manchester City,13.5,44
